variable,data,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,skew_min,skew_max,skew_mean,skew_std,class_entropy
race,adult,0.0,0.0,0.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
sex,adult,0.0,1.0,0.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 10th,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 11th,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 12th,adult,0.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 1st-4th,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 5th-6th,adult,1.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 7th-8th,adult,1.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 9th,adult,1.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Assoc-acdm,adult,0.0,0.0,0.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Assoc-voc,adult,0.0,0.0,0.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Bachelors,adult,1.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Doctorate,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 HS-grad,adult,0.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Masters,adult,1.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Preschool,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Prof-school,adult,1.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Some-college,adult,0.0,0.0,0.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Divorced,adult,0.0,0.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Married-AF-spouse,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
 Married-civ-spouse,adult,1.0,1.0,1.0,3094,8.03722003113301,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.4024910429033755,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4893913287804,716.8342762826726,-3.085847847200726,55.62373594069352,10.97855891414748,14.47397212289298,6.61338421837956
