,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,pos_prob,unpriv_prob_neg,priv_prob_neg,neg_prob
0,PerformanceRating,-0.06880058383913533,0.002634425925272958,0.0,0.8435374149659864,0.0,1.0,-0.9727891156462585,,-0.9307503506311361,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,2.2841634738186474,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,2.0623457316283695,3.13549421592915,-0.8435374149659864,1.0,0.15646258503401356,0.8435374149659864
1,BusinessTravel_Non-Travel,0.040398373240760684,0.0007682862362985987,0.8484848484848485,0.8,1.0058651026392962,0.9483870967741934,0.043939393939393945,0.010606060606060619,0.112202380952381,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,5.126908742598397,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,2.656564468372443,3.13549421592915,0.048484848484848464,0.1515151515151515,0.19999999999999996,-0.048484848484848464
2,BusinessTravel_Travel_Frequently,0.09481219920387547,0.0041335088123919395,0.859504132231405,0.7692307692307693,1.0189282857904558,0.9119106699751861,0.013668150031786341,-0.15352828989192635,-0.06323529411764706,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,0.9409649911217293,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,1.7112416388424354,3.13549421592915,0.09027336300063571,0.14049586776859502,0.23076923076923073,-0.09027336300063571
3,BusinessTravel_Travel_Rarely,-0.10793541732505645,0.00551858661949664,0.7804878048780488,0.8679245283018868,0.925255704169945,1.0289105295191723,-0.02991256327657621,0.1063046479521399,0.00024801587301587213,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,-1.0217242966183724,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,-0.9961748857692536,3.13549421592915,-0.08743672342383801,0.2195121951219512,0.13207547169811318,0.08743672342383801
4,Department_Human Resources,0.07955433366957514,0.0026880934839716777,0.85,0.7142857142857143,1.0076612903225808,0.8467741935483871,-0.02857142857142858,-0.15000000000000002,-0.07563025210084034,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,16.651551724137928,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,4.292454458631944,3.13549421592915,0.13571428571428568,0.15000000000000002,0.2857142857142857,-0.13571428571428568
5,Department_Research & Development,-0.06024510036436657,0.001782891296666922,0.8148148148148148,0.8602150537634409,0.9659498207885304,1.0197710718002082,0.013739545997610514,0.037634408602150504,0.033173076923076916,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,-1.7143506502423815,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,-0.5560237543983454,3.13549421592915,-0.045400238948626104,0.18518518518518523,0.13978494623655913,0.045400238948626104
6,Department_Sales,0.025947762592862265,0.00033265052110395543,0.85,0.8297872340425532,1.0076612903225806,0.9836993822923815,-0.008723404255319145,-0.008936170212765937,-0.010049019607843102,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,-1.4092802641232578,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,0.7810773311603088,3.13549421592915,0.02021276595744681,0.15000000000000002,0.17021276595744683,-0.02021276595744681
7,EducationField_Human Resources,0.11105742874116709,0.004430148487526247,0.8482758620689655,0.5,1.0056173526140155,0.5927419354838709,-0.02758620689655178,-0.3620689655172413,-0.0722468588322247,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,70.94454221165283,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,8.484067820435309,3.13549421592915,0.34827586206896555,0.15172413793103445,0.5,-0.34827586206896555
8,EducationField_Life Sciences,0.015267853164345653,0.00011599598440623082,0.8478260869565217,0.8363636363636363,1.0050841514726507,0.9914956011730204,0.014624505928853782,-0.033201581027668015,-0.005003450655624575,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,-1.7477913316069238,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,0.5255252151414972,3.13549421592915,0.01146245059288542,0.15217391304347827,0.1636363636363637,-0.01146245059288542
9,EducationField_Marketing,0.11315134435421052,0.005657270920317287,0.859375,0.7368421052631579,1.0187752016129032,0.8735144312393887,0.029194078947368474,-0.07771381578947367,0.03989898989898988,147,4.990432586778736,2,57,4.04305126783455,0,0,0,0,0,0,57,0,1,0.0,0.3877551020408163,-0.9473813189441862,2.5789473684210527,0.9473813189441862,0.1564625850340136,0.8435374149659864,0.5,0.3435374149659864,2,0,0,0,0,0,-1.9842228156404407,70.94454221165283,4.458050165080529,12.471879516078767,3.027831499546282,-0.9961748857692536,8.484067820435309,1.4049329394155232,1.9355064603842869,2.2331186863248496,3.13549421592915,0.12253289473684215,0.140625,0.26315789473684215,-0.12253289473684215
