variable,data,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob,kurtosis_var,skew_var
race,adult,0.0845306038418412,0.0040360974592466,0.1292517006802721,0.2525,0.5367849153084052,0.0,0.0,1.0,0.8707482993197279,0.7475,-0.1232482993197278,0.1232482993197278,5.639858197196586,-2.763369852206404
sex,adult,0.2300646010734255,0.029481677713473,0.1017441860465116,0.3103782735208535,0.4225456531918214,0.0,0.0,0.0,0.8982558139534884,0.6896217264791464,-0.2086340874743419,0.2086340874743419,-1.501940492199525,-0.7064211201277086
 10th,adult,-0.0796271589278562,0.0042254090887703,0.2469135802469135,0.0515463917525773,1.0254370701797997,0.0,0.0,1.0,0.7530864197530864,0.9484536082474226,0.1953671884943362,-0.1953671884943362,26.97478389355473,5.381203162193258
 11th,adult,-0.0912517944866108,0.0056771158532374,0.2484889187374076,0.043103448275862,1.031979482649046,0.0,0.0,1.0,0.7515110812625924,0.956896551724138,0.2053854704615456,-0.2053854704615455,21.748434966906025,4.871794014905299
 12th,adult,-0.051402663028293,0.0017122127587699,0.2435182146373482,0.0638297872340425,1.0113360484402083,0.0,0.0,1.0,0.7564817853626518,0.9361702127659576,0.1796884274033056,-0.1796884274033057,60.94559627217747,7.931342931187308
 1st-4th,adult,-0.028673694950313,0.0007133442654401,0.2414128321451717,0.0,1.002592352559948,0.0,1.0,1.0,0.7585871678548283,1.0,0.2414128321451717,-0.2414128321451717,382.37217672528783,19.599107300357176
 5th-6th,adult,-0.0270004546527512,0.0004261781426234,0.241851368970013,0.1153846153846153,1.0044136048231145,0.0,0.0,1.0,0.758148631029987,0.8846153846153846,0.1264667535853976,-0.1264667535853976,114.19487215945333,10.775948013022354
 7th-8th,adult,-0.0500986880387516,0.0015040554907069,0.244047619047619,0.1,1.0135346756152126,0.0,0.0,1.0,0.7559523809523809,0.9,0.144047619047619,-0.1440476190476191,39.28854955135968,6.423640195246879
 9th,adult,-0.0544308164154721,0.0018504072416333,0.2441438469152095,0.0793650793650793,1.0139343118867896,0.0,0.0,1.0,0.7558561530847905,0.9206349206349208,0.1647787675501301,-0.1647787675501302,44.20523966306676,6.795341438038589
 Assoc-acdm,adult,0.0070831340457777,2.467715743939558e-05,0.2402920677066047,0.2592592592592592,0.9979377952808524,0.0,0.0,0.0,0.7597079322933953,0.7407407407407407,-0.0189671915526545,0.0189671915526545,33.28011034060008,5.937895088136934
 Assoc-voc,adult,0.0320807210141396,0.0004879488202108,0.2379507920458375,0.3070866141732283,0.9882144303219078,0.0,0.0,0.0,0.7620492079541624,0.6929133858267716,-0.0691358221273908,0.0691358221273907,19.438346274351986,4.6287991424803465
 Bachelors,adult,0.1403975283654265,0.0090143965749763,0.2165413533834586,0.3894009216589861,0.8993006004945249,1.0,0.0,1.0,0.7834586466165414,0.6105990783410138,-0.1728595682755275,0.1728595682755276,2.29784046507682,2.0727651893437384
 Doctorate,adult,0.136299493527236,0.0075469781457871,0.2341191879502292,0.75,0.9723017013664552,1.0,0.0,1.0,0.7658808120497708,0.25,-0.5158808120497708,0.5158808120497708,72.48211654762683,8.627587357778452
 HS-grad,adult,-0.1304583562275632,0.0089152035130419,0.2808823529411764,0.1631878557874762,1.166510067114094,0.0,0.0,1.0,0.7191176470588235,0.8368121442125237,0.1176944971537002,-0.1176944971537001,-1.548412001548597,0.6727475970823672
 Masters,adult,0.2217231751622549,0.0204903015155828,0.2172271791352093,0.6222222222222222,0.9021488486501176,1.0,0.0,0.0,0.7827728208647906,0.3777777777777777,-0.4049950430870129,0.4049950430870128,12.272421904010796,3.776835881330271
 Preschool,adult,-0.0202622366782589,0.0003564062897908,0.2411003236245954,0.0,1.001294498381877,0.0,1.0,1.0,0.7588996763754046,1.0,0.2411003236245954,-0.2411003236245954,769.7466047695341,27.771370713826663
 Prof-school,adult,0.1586473303468966,0.0102338960740786,0.232183908045977,0.7755102040816326,0.9642644449587288,1.0,0.0,1.0,0.767816091954023,0.2244897959183673,-0.5433262960356556,0.5433262960356556,58.25498698573547,7.759982644906663
 Some-college,adult,-0.0580008985211183,0.0017409480732238,0.2541736227045075,0.1948424068767908,1.0555881726815386,0.0,0.0,0.0,0.7458263772954925,0.8051575931232091,0.0593312158277166,-0.0593312158277166,-0.2745212022031755,1.313642519763394
 Divorced,adult,-0.120958207938083,0.0084159576269404,0.2615384615384615,0.1118881118881118,1.0861744966442952,0.0,0.0,1.0,0.7384615384615385,0.8881118881118881,0.1496503496503496,-0.1496503496503496,2.378878034134893,2.092209529543325
 Married-AF-spouse,adult,-0.0143229304544276,0.0001781367838062,0.2409443725743855,0.0,1.000646830530401,0.0,1.0,1.0,0.7590556274256145,1.0,0.2409443725743855,-0.2409443725743855,1544.497412050293,39.31283543530701
 Married-civ-spouse,adult,0.4556452880056575,0.1100039861096799,0.0650644783118405,0.4567723342939481,0.2702140884521271,1.0,1.0,1.0,0.9349355216881594,0.5432276657060519,-0.3917078559821075,0.3917078559821075,-1.9585192951024752,0.2067538012372867
 Married-spouse-absent,adult,-0.0426281702559305,0.0011828098037714,0.2426518615284128,0.0625,1.0077380665354485,0.0,0.0,1.0,0.7573481384715872,0.9375,0.1801518615284128,-0.1801518615284127,91.8482517739764,9.68446592898473
 Never-married,adult,-0.3262629760610839,0.0652165793101947,0.3394762366634336,0.0436046511627907,1.409851645955253,1.0,1.0,1.0,0.6605237633365664,0.9563953488372092,0.2958715855006428,-0.2958715855006429,-1.501940492199524,0.7064211201277093
 Separated,adult,-0.0626987064577308,0.0023314992639132,0.2460557233971131,0.1043478260869565,1.0218743734102926,0.0,0.0,1.0,0.7539442766028869,0.8956521739130435,0.1417078973101566,-0.1417078973101566,21.98039492605218,4.8955272383049255
 Widowed,adult,-0.0833373367995392,0.0047649430550536,0.2471647765176784,0.0416666666666666,1.026480293349929,0.0,0.0,0.0,0.7528352234823216,0.9583333333333334,0.2054981098510118,-0.2054981098510118,27.30723600213717,5.411985280852783
 ?,adult,-0.080135798306659,0.0038129973550046,0.249228659581762,0.1016949152542373,1.035051641269761,0.0,0.0,0.0,0.7507713404182379,0.8983050847457628,0.1475337443275247,-0.1475337443275248,12.563136613009185,3.8151036764243935
