,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,kurtosis_var,skew_var,gini,simpson,shannon,ir,pos_prob
0,race,0.0845306038418412,0.004036097459246643,0.1292517006802721,0.2525,0.5367849153084052,1.0486375838926174,-0.10049319727891155,-0.1026530612244898,-0.020092914330865942,5.639858197196586,-2.763369852206404,0.09502262443438914,-0.9999998738398947,-34474.09478251241,0.105,-0.12324829931972789
1,sex,0.23006460107342552,0.029481677713473056,0.10174418604651163,0.31037827352085356,0.42254565319182147,1.2890072191590884,-0.13539199542853703,-0.12957146294333033,-0.02987217078415081,-1.501940492199525,-0.7064211201277086,0.3335488041370394,-0.9999998119193481,-33033.85313660983,0.5004849660523764,-0.20863408747434192
2, 10th,-0.07962715892785623,0.004225409088770338,0.24691358024691357,0.05154639175257732,1.0254370701797995,0.2140732027952674,0.18518518518518517,0.12696545342593446,0.2955250332299513,26.974783893554726,5.381203162193258,0.9686489980607628,-0.9999998887828372,-35253.453741127334,0.0323656990323657,0.19536718849433626
3, 11th,-0.09125179448661089,0.005677115853237408,0.24848891873740767,0.04310344827586207,1.031979482649046,0.17900948854431845,0.17741020356175172,0.12759083856325704,0.29112624689032196,21.748434966906025,4.871794014905299,0.962508080155139,-0.9999998874119843,-35162.02709433229,0.03895231699126931,0.2053854704615456
4, 12th,-0.05140266302829306,0.0017122127587699395,0.2435182146373482,0.06382978723404255,1.0113360484402085,0.2650863915464801,0.0957272238476632,0.025989986662849462,0.24770342006047816,60.94559627217747,7.931342931187308,0.9848093083387202,-0.9999998923158531,-35524.52619796857,0.015425008204791599,0.17968842740330565
5, 1st-4th,-0.028673694950313036,0.0007133442654401884,0.24141283214517173,0.0,1.002592352559948,0.0,0.1798444588464031,0.1749837977965003,0.29241074628234937,382.37217672528783,19.599107300357176,0.9974143503555268,-0.9999998949961464,-35795.43796151729,0.002592352559948153,0.24141283214517173
6, 5th-6th,-0.027000454652751252,0.00042617814262340455,0.24185136897001303,0.11538461538461539,1.0044136048231145,0.47919463087248326,0.18089960886571055,0.05964797913950448,0.2936829187457848,114.19487215945331,10.775948013022354,0.9915966386554622,-0.9999998937673292,-35659.10936337066,0.00847457627118644,0.12646675358539763
7, 7th-8th,-0.05009868803875169,0.0015040554907069011,0.24404761904761904,0.1,1.0135346756152126,0.4153020134228188,0.18353174603174602,0.07625661375661374,0.29572903996756505,39.28854955135968,6.423640195246879,0.9773755656108597,-0.9999998907041234,-35393.27090203067,0.023148148148148147,0.14404761904761904
8, 9th,-0.05443081641547219,0.0018504072416333107,0.2441438469152095,0.07936507936507936,1.0139343118867896,0.32960477255779264,0.16690494519593826,0.11334726346273694,0.19427400993311075,44.20523966306676,6.795341438038589,0.9796380090497737,-0.9999998911970823,-35431.8359677738,0.020785219399538105,0.16477876755013013
9, Assoc-acdm,0.007083134045777773,2.467715743939558e-05,0.24029206770660472,0.25925925925925924,0.9979377952808524,1.0767089236887895,-0.005961819768656784,0.052447624081654376,-0.034948009818758494,33.28011034060008,5.937895088136934,0.9738202973497091,-0.9999998899251822,-35334.72352746577,0.026883504812479257,-0.018967191552654528
10, Assoc-voc,0.03208072101413961,0.00048794882021086644,0.23795079204583755,0.30708661417322836,0.9882144303219078,1.2753368916133805,-0.10854040110506913,-0.08896284324419002,-0.06482617609107488,19.438346274351986,4.6287991424803465,0.9589528118939884,-0.9999998866112619,-35111.282545682014,0.04280417930569599,-0.0691358221273908
11, Bachelors,0.14039752836542654,0.00901439657497638,0.21654135338345865,0.38940092165898615,0.8993006004945249,1.6171898679367829,-0.26036866359447003,-0.04356051418869755,-0.21451745787074014,2.29784046507682,2.0727651893437384,0.8597285067873304,-0.9999998623339679,-34065.89324571445,0.1631578947368421,-0.1728595682755275
12, Doctorate,0.13629949352723608,0.007546978145787123,0.2341191879502292,0.75,0.9723017013664552,3.114765100671141,-0.4261296660117878,-0.17776686313032086,-0.2450309986436536,72.48211654762683,8.627587357778452,0.9870717517776342,-0.9999998928018132,-35567.46031891308,0.01309757694826457,-0.5158808120497708
13, HS-grad,-0.13045835622756322,0.008915203513041953,0.28088235294117647,0.16318785578747627,1.166510067114094,0.6777224507469148,0.19291587602783047,0.007131562302340355,0.2723843408539268,-1.548412001548597,0.6727475970823672,0.6593406593406593,-0.999999810337228,-33012.38975701769,0.5166666666666667,0.1176944971537002
14, Masters,0.22172317516225493,0.02049030151558287,0.21722717913520934,0.6222222222222222,0.9021488486501177,2.5841014168530947,-0.3699191641882102,-0.10372531076031422,-0.1977157816019772,12.272421904010796,3.776835881330271,0.9418228829993536,-0.9999998826813781,-34885.13351959533,0.06177076183939602,-0.4049950430870129
15, Preschool,-0.02026223667825894,0.00035640628979082684,0.24110032362459546,0.0,1.001294498381877,0.0,0.1796116504854369,0.1747572815533981,0.2923469898828008,769.7466047695341,27.771370713826666,0.9987071751777634,-0.9999998952672967,-35831.57856942646,0.0012944983818770227,0.24110032362459546
16, Prof-school,0.15864733034689663,0.010233896074078645,0.23218390804597702,0.7755102040816326,0.9642644449587288,3.2207094918504313,-0.5435139573070608,-0.009289232934553082,-0.2745223669186062,58.25498698573547,7.759982644906663,0.9841628959276018,-0.9999998921766156,-35512.550513818445,0.016091954022988506,-0.5433262960356556
17, Some-college,-0.058000898521118345,0.0017409480732238913,0.2541736227045075,0.19484240687679083,1.0555881726815386,0.8091844387607932,0.02073297903382429,-0.00032767123811894283,0.014638422436332142,-0.27452120220317555,1.3136425197633939,0.7744020685197156,-0.9999998394353261,-33492.547705816265,0.2913188647746244,0.059331215827716666
18, Divorced,-0.12095820793808303,0.00841595762694048,0.26153846153846155,0.11188811188811189,1.0861744966442952,0.46467358145210497,0.15954289612826197,0.0997896412530559,0.15491624679447352,2.378878034134893,2.092209529543325,0.8613445378151261,-0.9999998627554909,-34079.02003031533,0.16097560975609757,0.14965034965034968
19, Married-AF-spouse,-0.01432293045442767,0.00017813678380624795,0.2409443725743855,0.0,1.000646830530401,0.0,0.1794954721862872,0.17464424320827943,0.29231519317821125,1544.497412050293,39.31283543530701,0.9993535875888817,-0.99999989540261,-35851.651675335626,0.000646830530401035,0.2409443725743855
20, Married-civ-spouse,0.45564528800565757,0.11000398610967994,0.06506447831184056,0.45677233429394815,0.2702140884521271,1.8969847010811751,-0.34628417755945284,-0.25838623471659616,-0.2634612950070363,-1.9585192951024752,0.20675380123728673,0.5513897866839044,-0.9999997932594304,-32805.34478620763,0.813599062133646,-0.39170785598210756
21, Married-spouse-absent,-0.0426281702559305,0.00118280980377142,0.2426518615284128,0.0625,1.0077380665354485,0.25956375838926177,0.18125408229915088,0.11320215545395163,0.2934518347758612,91.84825177397639,9.68446592898473,0.9896574014221073,-0.9999998933545828,-35618.751733684345,0.010450685826257348,0.1801518615284128
22, Never-married,-0.32626297606108395,0.06521657931019478,0.3394762366634336,0.0436046511627907,1.409851645955253,0.18109099422506636,0.24443886796141326,0.1979075030639329,0.22225421671152293,-1.501940492199524,0.7064211201277093,0.6664511958629605,-0.9999998119193481,-33033.85313660983,0.5004849660523764,0.29587158550064285
23, Separated,-0.0626987064577308,0.0023314992639132046,0.24605572339711312,0.10434782608695652,1.0218743734102926,0.43335862270207176,0.15921012303515916,0.08192419399565076,0.20839230232669329,21.98039492605218,4.8955272383049255,0.9628312863606981,-0.9999998874845207,-35166.71572003395,0.03860355824102048,0.1417078973101566
24, Widowed,-0.08333733679953924,0.004764943055053687,0.24716477651767846,0.041666666666666664,1.026480293349929,0.17304250559284115,0.15287274849899934,0.12636896820102284,0.15819113781656458,27.30723600213717,5.411985280852783,0.9689722042663219,-0.9999998888545573,-35258.41083457691,0.032021347565043365,0.2054981098510118
25, ?,-0.08013579830665905,0.0038129973550046214,0.24922865958176207,0.1016949152542373,1.035051641269761,0.42234103059947675,0.11835354409859213,0.0772560617769592,0.11027134173764376,12.563136613009183,3.8151036764243944,0.942792501616031,-0.9999998829069703,-34897.22281237467,0.06067877956804937,0.14753374432752478
26, Adm-clerical,-0.09291808111712947,0.004905485209729762,0.25432900432900435,0.12422360248447205,1.0562334756965628,0.5159031222643711,0.06849551414768806,0.07001693958215693,0.00018772709960985026,4.73444342527703,2.5944909789073805,0.8959276018099548,-0.9999998715918552,-34385.11962955726,0.11616161616161616,0.1301054018445323
27, Armed-Forces,-0.01432293045442767,0.00017813678380624795,0.2409443725743855,0.0,1.000646830530401,0.0,0.1794954721862872,0.17464424320827943,0.29231519317821125,1544.4974120502932,39.312835435307015,0.9993535875888817,-0.99999989540261,-35851.651675335626,0.000646830530401035,0.2409443725743855
28, Craft-repair,0.005075940450402,1.2826062865470278e-05,0.2399403874813711,0.24634146341463414,0.9964772602246471,1.0230610574562122,0.12524444767547527,-0.06872160226818358,0.2182073869590633,2.705407197203099,2.1687920153929925,0.8674854557207499,-0.999999864350791,-34129.80031923853,0.1527570789865872,-0.006401075933263056
29, Exec-managerial,0.196806472711653,0.01720269524427645,0.20817843866171004,0.45792079207920794,0.8645692472742695,1.90175426938667,-0.3659262394640951,-0.05548603187456291,-0.2852232114146064,2.8150875366399775,2.1939161895391064,0.8694246929541047,-0.9999998648523728,-34146.13776955605,0.15018587360594796,-0.2497423534174979
30, Farming-fishing,-0.05249725854938743,0.0016176600602438237,0.24467376830892143,0.1111111111111111,1.0161350861044334,0.46144668158090973,0.18475366178428762,0.06532031365586621,0.29706664508024455,29.457258750606833,5.606979367445328,0.9709114414996768,-0.9999998892839729,-35288.48474760254,0.02996005326231691,0.13356265719781032
31, Handlers-cleaners,-0.09183048459552064,0.005755285824499029,0.2485723883103796,0.042735042735042736,1.032326133466194,0.17747949291573453,0.17754637405292428,0.12809315866084425,0.2911838434161858,21.520446341281385,4.848353913726852,0.9621848739495799,-0.9999998873394051,-35157.351390261894,0.039301310043668124,0.20583734557533684
32, Machine-op-inspct,-0.05091678065564905,0.0014134297801948748,0.24654218533886585,0.15841584158415842,1.0238946596489273,0.6579041796797128,0.16013105459923585,0.006648590170220348,0.2613006156201699,10.405426034250558,3.52117881600715,0.9347123464770524,-0.9999998810156693,-34798.74623197849,0.0698478561549101,0.08812634375470743
33, Other-service,-0.17612332413979456,0.021842498446848033,0.2672476397966594,0.026470588235294117,1.1098848289004888,0.10993288590604026,0.19822076978939726,0.16303558460421208,0.2997535919662744,4.2322317245244285,2.4958959062475743,0.8901098901098901,-0.9999998701318266,-34330.01249103451,0.12345679012345678,0.24077705156136528
